text,label
I'm overjoyed!,happy
Life couldn't be better,happy
This is so exciting...,happy
This is absolutely amazing!!,happy
Everything is awesome today,happy
Feeling very cheerful!!,happy
I'm feeling vibrant,happy
This is absolutely amazing...,happy
Everything is going my way,happy
I'm feeling vibrant,happy
This is absolutely amazing!,happy
Life is perfect right now!!,happy
I feel fantastic!,happy
I feel wonderful,happy
I can't stop smiling.,happy
Life couldn't be better.,happy
I'm overjoyed!,happy
I'm in high spirits,happy
I feel wonderful!!,happy
I can't stop smiling!,happy
I'm feeling vibrant,happy
I'm over the moon,happy
I can't stop smiling,happy
This is so exciting,happy
I'm over the moon,happy
I'm feeling vibrant,happy
This is so exciting!,happy
Life is perfect right now!,happy
Everything is awesome today!!,happy
Everything is going my way,happy
I feel fantastic!,happy
Life is perfect right now!!,happy
I'm over the moon,happy
I feel wonderful,happy
I'm over the moon.,happy
This is so exciting,happy
I'm in a joyful mood...,happy
I'm over the moon,happy
I'm over the moon!!,happy
Feeling very cheerful.,happy
I'm feeling vibrant,happy
I'm thrilled about this...,happy
This is so exciting,happy
I am on cloud nine,happy
I feel wonderful,happy
Feeling very cheerful!!,happy
I feel ecstatic,happy
Life is perfect right now.,happy
I'm thrilled about this,happy
I'm in high spirits,happy
Everything is awesome today,happy
Life couldn't be better,happy
I'm in a joyful mood.,happy
I'm thrilled about this.,happy
I'm overjoyed,happy
I'm overjoyed,happy
I am on cloud nine,happy
I feel wonderful!,happy
I am extremely happy,happy
Life couldn't be better,happy
Everything is awesome today.,happy
I feel fantastic,happy
Feeling very cheerful.,happy
I'm thrilled about this,happy
I am extremely happy!,happy
I just got great news.,happy
I'm overjoyed,happy
Feeling very cheerful!,happy
I feel ecstatic.,happy
I'm feeling vibrant,happy
Feeling very cheerful.,happy
I'm thrilled about this,happy
I can't stop smiling.,happy
Everything is going my way,happy
I'm in high spirits,happy
Nothing seems right!,sad
I'm emotionally drained...,sad
This is so upsetting!!,sad
I can't find happiness,sad
I feel gloomy,sad
I feel really sad...,sad
I feel lonely,sad
My mood is low.,sad
I am heartbroken.,sad
I am disheartened!,sad
I feel lost,sad
